Aliment,,Dosage/Jour,cal/100g,Proteine/100g,cal/jour,prot/jour
Shaker protein(1),,,,,250,37
riz complet,,120,150,"3,5",180,"4,2"
blanc de poulet,,500,120,23,600,115
Huile d'olive,,35,884,0,"309,4",0
Huile de sesame,,10,884,0,"88,4",0
Chocolat noir 90%(5),,"12,5",592,10,74,"1,25"
Oeufs(5),,250,134,"13,5",335,"33,75"
Oignon,,200,30,1,60,2
Ail,,30,130,8,39,"2,4"
Clementine,,140,50,0,70,0
Banane,,120,94,0,"112,8",0
Pomme,,170,53,0,"90,1",0
Poivron,,170,33,"1,1","56,1","1,87"
Champignons,,330,25,"1,8","82,5","5,94"
Brocoli,,300,29,"2,1",87,"6,3"
TOTAL Base,,,,,"1935,8","195,6"
TOTAL Moyenne,,,,,"2101,966667","200,3033333"
